ArtikkelNr;Beskr;LevNr;LevKod;LevFargKod;Sasong;KjedeInnkPris;TotalLagerBeh;RegistrertDato;SistEndretDato;Antall;But. med lager;Lager ant. pr. butikk;Strekkoder
9802707;14OZ VINTAGE DENIM REGULAR JEA;40;100005;970;201101;226,61;2;13/07/06;30/03/20;3;1;2;7322621907807,7322621919695,7322621921308,7322621922916,7322621924521,7322621927744,7322621932823,7322621934704,7322621942990,7322621945038,7322621946981,7322621949685,7322621951565,7322621953170,7322621955006,7322621956904,7322621970146,7322621971754,7322621973451,7322621975172,7322621976780,7322621978494,7322621983566,7322621985171,7322621994838,7322621999666,7322622001276,7322622002884,7322622006103
9801029;14 OZ VINTAGE DENIM REGULAR JE;40;100005;970;201601;0;66;13/10/05;30/03/20;3;1;66;7322621907425,7322621907432,7322621907463,7322621907487,7322621907494,7322621907500,7322621907524,7322621907548,7322621907562,7322621907579,7322621907593,7322621907609,7322621907647,7322621907661,7322621907678,7322621907685,7322621907739,7322621907753,7322621907760,7322621907814,7322621907821,7322621907838,7322621907845,7322621907852,7322621907869,7322621907876,7322621907883,7322621907913,7322621907937,7322621907944,7322621907951,7322621907975,7322622810335,7322622810373,7322622810434,7322622810588,7322622811271,7322622811363,7322622811431,7322622811462,7322622811509,7322622811554,7322622811578,7322622811707,7322622811752,7322622811776,7322622811837,7322622811875,7322622811899,7322622812612,7322622812834,7322622813183,7322622813268,7322622813428,7322622813558,7322622813749,7322622813787,7322622813961,7322622814005
9803926;G.N.H. 14OZ REGULAR VINTAGE DENIM JEANS;40;100005;970;201703;0;202;22/01/07;30/03/20;3;1;202;7322623527423,7322623529847,7322623532052,7322623534339,7322623536692,7322623538979,7322623543447,7322623555921,7322623558441,7322623561090,7322623563674,7322623566309,7322623568884,7322623571495,7322623574120,7322623576612,7322623594579,7322623597013,7322623599352,7322623601550,7322623604179,7322623608177,7322623610378,7322623615021,7322623649606,7322623652491,7322623655225,7322623658356,7322623663213,7322626797649,7322626797656,7322626797687,7322626797694,7322626797755,7322626797984,7322626798073
9851730;O1. TAPERED SATIN JEANS;40;1000143;433;201803;204,92;2;13/07/18;05/03/20;2;13|20;1|1;7325702643625,7325702643632,7325702643649,7325702643656,7325702643663,7325702643670,7325702643748,7325702643755,7325702643762,7325702643779,7325702643786,7325702643793,7325702643809,7325702643816,7325702643823,7325702643908,7325702643915,7325702643922,7325702643939,7325702643946,7325702643953,7325702643960,7325702643977,7325702644066,7325702644073,7325702644080,7325702644097,7325702644103,7325702644110
9853502;O1. TAPERED SATIN JEANS;40;1000143;433;201803;204,92;0;16/11/18;07/11/19;2;;;7325702643984
9860915;D1. SLIM CORD JEANS;40;1000248;410;202003;226,61;150;04/09/20;30/11/20;2;2|3|6|16;31|2|37|80;7325705835515,7325705835539,7325705835546,7325705835553,7325705835560,7325705835577,7325705835584,7325705835591,7325705835607,7325705835614,7325705835621,7325705835638,7325705835645,7325705835652,7325705835669,7325705835676,7325705835690,7325705835706,7325705835713,7325705835720,7325705835737,7325705835744,7325705835751,7325705835768,7325705835775,7325705835782,7325705835799,7325705835805,7325705835812,7325705835829,7325705835836
9861641;D1. SLIM CORD JEANS;40;1000248;410;202003;226,61;1;19/10/20;19/10/20;2;2;1;7325705835843
9804245;G.N.H. WHITE SUMMER COLOUR STITCH ORIGINAL JEANS;40;100101;110;201701;0;0;16/02/07;30/03/20;2;;;0200001107627,0200001107634,7322623558458,7322623561106,7322623563681,7322623566316,7322623568891,7322623571501,7322623574137,7322623576629,7322623597020,7322623599369,7322623601567,7322623604186,7322623608184,7322623610385,7322623615038,7322623649613,7322623652507,7322623655232
9806752;G.N.H. WHITE SUMMER JEANS TYLER;40;100101;110;201801;0;11;21/01/08;30/03/20;2;1;11;7322625322989,7322625322996,7322625323009,7322625323016,7322625323023,7322625323030,7322625323047,7322625323054,7322625323139,7322625323146,7322625323153,7322625323160,7322625323177,7322625323184
9811752;THUNDERSTONE JEANS T.;40;100301;973;200001;0;41;26/01/10;30/03/20;3;1;41;0200001008986,7322620475048,7322620475086,7322620475109,7322620475277,7322620475284,7322620475307,7322620475314,7322620475710,7322620475727,7322620475741,7322620475758,7322620475765,7322620475789,7322620475796,7322620475802,7322620475826,7322620475833,7322620476823,7322620476861,7322620476878,7322620476885,7322620476892,7322620476908,7322620476915,7322620476953,7322620476991,7322620478445,7322620478452,7322620478469,7322620478490,7322620478513,7322620478520,7322620478605
9803768;G.N.H. THUNDERSTONE ORIGINAL JEANS;40;100301;973;201701;0;1;11/01/07;30/03/20;3;1;1;0200001111891,0200001111907,7322623529779,7322623531987,7322623534261,7322623536623,7322623538894,7322623561021,7322623563575,7322623566224,7322623568792,7322623571396,7322623574038,7322623576520,7322623579088,7322623594500,7322623596863,7322623599284,7322623601482,7322623603912,7322623608108,7322623610309,7322623614819,7322623620278,7322623649507,7322623652262,7322623655157,7322623658271,7322623663046
9806497;G.N.H. THUNDERSTONE JEANS TYLER;40;100301;973;201901;0;0;08/01/08;30/03/20;3;;;7322625187366,7322625187373,7322625187397,7322625187427,7322625187434,7322625187441,7322625187953,7322625187977,7322625188011,7322625188035,7322625188059,7322625188097,7322625188103,7322625188134,7322625188509,7322625188516,7322625188523,7322625188530,7322625188547,7322625188554,7322625188561,7322625188578,7322625188585,7322625189049,7322625189056,7322625189063,7322625189094,7322625189100,7322628625131,7322628625148,7322628625155,7322628625162,7322628625179,7322628625186,7322628625742,7322628625759,7322628625766,7322628625773,7322628625780,7322628625797,7322628625803,7322628625810,7322628626022,7322628626039,7322628626046,7322628626053,7322628626060,7322628626077,7322628626084,7322628626091,7322628626107,7322628626114,7322628626336,7322628626343,7322628626350,7322628626367,7322628626374,7322628626398
9851944;O2. SLIM DUSTY JEANS;40;1007308;617;201901;235,44;0;30/07/18;30/03/20;2;;;7325702304656,7325702304663,7325702304670,7325702304687,7325702304694,7325702304731,7325702304748,7325702304755,7325702304762,7325702304779,7325702304786,7325702304793,7325702304878,7325702304885,7325702304892,7325702304915,7325702304922
9855057;O2. SLIM DUSTY JEANS;40;1007308;617;201901;235,44;0;13/02/19;05/03/20;2;;;7325702304809
9849148;SLIM DESERT JEANS;40;1010208;650;201903;193,42;26;29/11/17;26/06/20;2;10|14|40;14|4|8;7325702301402,7325702301419,7325702301426,7325702301433,7325702301440,7325702301457,7325702301464,7325702301471,7325702301488,7325702301495,7325702301501,7325702301556,7325702301563,7325702301570,7325702301587,7325702301594,7325702301600,7325702301617,7325702301624
9849301;SLIM DESERT JEANS;40;1010208;650;201903;193,42;4;19/12/17;17/11/20;2;10;4;7325702301341,7325702301358,7325702301365,7325702301372,7325702301389,7325702301396,7325702301709,7325702301716
9800393;12.5 OZ UNIVERSITY JEANS;40;101207;963;201503;0;36;02/08/05;30/03/20;2;1;36;7322627886182,7322627886199,7322627886205,7322627886212,7322627886229,7322627886304,7322627886311,7322627886328,7322627886335,7322627886342,7322627886359,7322627886366,7322627886373,7322627886380,7322627886441,7322627886458,7322627886465,7322627886472,7322627886489,7322627886496,7322627886502,7322627886519,7322627886526,7322627886601,7322627886618,7322627886625,7322627886632,7322627886649,7322627886656
9802750;12 OZ UNIVERSITY JEANS;40;101207;963;201603;0;53;31/07/06;30/03/20;2;1;53;7322621922824,7322621924439,7322621926044,7322621927652,7322621929458,7322621942884,7322621944918,7322621946806,7322621949593,7322621951435,7322621953088,7322621954917,7322621956812,7322621958786,7322621960390,7322621968440,7322621970054,7322621971662,7322621973369,7322621975080,7322621976698,7322621978401,7322621980237,7322621981869,7322621983474,7322621996351,7322621997969,7322621999574,7322622001184,7322622002792
9818035;BANDANA LINER JEANS TYLER;40;101601;961;201301;166,77;0;09/08/11;05/03/20;4;;;7322623469235
9802751;G.N.H BANDANA LINER ORIGINAL JEANS;40;101601;961;201603;0;89;31/07/06;30/03/20;4;1;89;7322622806543,7322622806574,7322622806598,7322622806826,7322622807236,7322622807274,7322622807298,7322622807359,7322622807878,7322622808028,7322622808158,7322622808547,7322622808851,7322622808943,7322622808981,7322622809087,7322622809223,7322622809315,7322622809322,7322622809346,7322622809506,7322622809605,7322622809766,7322622809896,7322622810038,7322622810076,7322622810106,7322622810137,7322622810168,7322622810205,7322622810236,7322622810274
9805282;G.N.H. BANDANA LINER ORIGINAL JEANS;40;101601;961;201703;0;58;11/08/07;30/03/20;4;1;58;7322620024550,7322620024567,7322620024574,7322620024659,7322620024666,7322620024673,7322620024680,7322620025267,7322620025274,7322620025281,7322620025298,7322620025366,7322620025373,7322620025519,7322620025533,7322620025540,7322620025557,7322620025564,7322620025571,7322620025588,7322620025595,7322620025601,7322620025618,7322620025816,7322620025823,7322620025854,7322620025861,7322620025878,7322620025885,7322620025892,7322620025908,7322620025915
9808003;G.N.H. BANDANA LINER JEANS TYLER;40;101601;961;201901;0;43;24/06/08;30/03/20;4;1;43;7322627176740,7322627176757,7322627176764,7322627176771,7322627176788,7322627176795,7322627177556,7322627177563,7322627177570,7322627177587,7322627177594,7322627177600,7322627177617,7322627177624,7322627177631,7322627178263,7322627178270,7322627178287,7322627178294,7322627178300,7322627178317,7322627178324,7322627178331,7322627178348,7322627178935,7322627178942,7322627178959,7322627178966,7322627178973,7322627178980,7322628648215
9815028;SOFT MELANGE TWILL JEANS JASON;40;101805;241;201103;166,77;0;15/10/10;05/03/20;2;;;7322623488380,7322623488441,7322623489905,7322623489943,7322623489950,7322623489998,7322623491182
9808024;G.N.H. MELANGE TWILL JEANS JASON;40;101805;241;201803;0;0;25/06/08;30/03/20;2;;;7322627192610,7322627192627,7322627192634,7322627192641,7322627192658,7322627192665,7322627194782,7322627194799,7322627194805,7322627194812,7322627194829,7322627194836,7322627194843,7322627194850,7322627195925,7322627195932,7322627195949,7322627195956,7322627195963,7322627195970,7322627195987,7322627196052,7322627196878,7322627196885,7322627196892,7322627196908,7322627196915
9800396;SOFT MELANGE TWILL REGULAR JEANS;40;101805;341;201503;0;12;17/08/05;30/03/20;4;1;12;0200001111532,0200001111549,7322627897942,7322627897959,7322627897966,7322627897973,7322627897980,7322627897997,7322627898062,7322627898079,7322627898086,7322627898093,7322627898109,7322627898116,7322627898123,7322627898130,7322627898147,7322627898154,7322627898208,7322627898215,7322627898222,7322627898239,7322627898246,7322627898253,7322627898260,7322627898277,7322627898284,7322627898376,7322627898383,7322627898390,7322627898406
9802752;G.N.H. SOFT MELANGE TWILL REGULAR JEANS;40;101805;341;201603;0;0;31/07/06;30/03/20;4;;;7322621922701,7322621924316,7322621925924,7322621927539,7322621929335,7322621942761,7322621944758,7322621946615,7322621949470,7322621951268,7322621952968,7322621954795,7322621956690,7322621958663,7322621968327,7322621969935,7322621971549,7322621973246,7322621974960,7322621976575,7322621978289,7322621980114,7322621981746,7322621983351,7322621994623,7322621996238,7322621997846,7322621999451,7322622001061,7322622002679
9805283;G.N.H. SOFT MELANGE REGULAR JEANS;40;101805;341;201703;0;1;11/08/07;30/03/20;4;1;1;7322620046828,7322620046927,7322620046934,7322620046941,7322620046958,7322620047306,7322620047450,7322620047467,7322620047474,7322620047559,7322620047566,7322620047573,7322620047665,7322620047672,7322620049218,7322620049225,7322620049232,7322620049249,7322620049256,7322620049263,7322620049270,7322620049362,7322620049379,7322620049386,7322620049393,7322620049409,7322620049461,7322620049478,7322620049485,7322620049492
9808020;G.N.H. MELANGE TWILL JEANS JASON;40;101805;341;201803;0;0;25/06/08;30/03/20;4;;;7322627194041,7322627194058,7322627194065,7322627194072,7322627194089,7322627194096,7322627195055,7322627195062,7322627195079,7322627195086,7322627195093,7322627195109,7322627195116,7322627195123,7322627195130,7322627196281,7322627196298,7322627196304,7322627196311,7322627196328,7322627196335,7322627196342,7322627196359,7322627197141,7322627197158,7322627197165,7322627197172,7322627197189,7322627197196,7322627197202
9818037;SOFT MELANGE TWILL JEAN J.;40;101805;405;201103;166,77;3;09/08/11;30/03/20;2;1;3;0200001070624,0200001070631,7322623486942,7322623486959,7322623486997,7322623487000,7322623487017,7322623487024,7322623488052,7322623488069,7322623488076,7322623488083,7322623488090,7322623488106,7322623488113,7322623488120,7322623488137,7322623488144,7322623489356,7322623489363,7322623489370,7322623489387,7322623489394,7322623489400,7322623489417,7322623489424,7322623490789,7322623490796,7322623490802,7322623490819,7322623490826
9800397;SOFT MELANGE TWILL REGULAR JEANS;40;101805;405;201503;0;1;17/08/05;30/03/20;2;1;1;7322627898512,7322627898543,7322627898680,7322627898970,7322627898987
9805284;G.N.H. SOFT MELANGE REGULAR JEANS;40;101805;90;201101;156,37;2;11/08/07;30/03/20;5;1;2;7322620037000,7322620037017,7322620037024,7322620037383,7322620037390,7322620037406,7322620037413,7322620037543,7322620037666,7322620038021,7322620038038,7322620038045,7322620038052,7322620038069,7322620038175,7322620038182,7322620038199,7322620038274,7322620038281,7322620038298,7322620038304,7322620038663,7322620038670,7322620038731,7322620038748,7322620038809,7322620038816,7322620038823,7322620038830,7322620038847,7322620038922,7322620038939,7322620039295
9811111;SOFT MELANGE TWILL JEAN J.;40;101805;90;201103;166,77;85;08/10/09;30/03/20;5;1|20;81|4;0200001029905,0200001029912,7322623487666,7322623487673,7322623487680,7322623487697,7322623487703,7322623487710,7322623487727,7322623488762,7322623488779,7322623488854,7322623488861,7322623488878,7322623488908,7322623488915,7322623488922,7322623488939,7322623488946,7322623488953,7322623490277,7322623490284,7322623490291,7322623490307,7322623490314,7322623490321,7322623490338,7322623490345,7322623490369,7322623490376,7322623490383,7322623490390,7322623491656,7322623491694,7322623491724,7322623491731,7322623491748,7322623491755,7322623491762,7322623491779
9800398;SOFT MELANGE TWILL REGULAR JEA;40;101805;90;201503;0;1;17/08/05;30/03/20;5;1;1;7322627895146,7322627895153,7322627895160,7322627895177,7322627895184,7322627895191,7322627895207,7322627895221,7322627895269,7322627895276,7322627895283,7322627895290,7322627895306,7322627895313,7322627895320,7322627895337,7322627895344,7322627895405,7322627895412,7322627895429,7322627895436,7322627895443,7322627895450,7322627895467,7322627895474,7322627895481,7322627895566,7322627895573,7322627895580,7322627895597,7322627895603,7322627895610
9802753;G.N.H. SOFT MELANGE TWILL REGULAR JEANS;40;101805;90;201603;0;1;31/07/06;30/03/20;5;1;1;0200001110016,0200001110023,7322621921124,7322621922732,7322621924347,7322621925955,7322621927560,7322621929366,7322621942792,7322621944789,7322621946646,7322621949500,7322621951299,7322621952999,7322621954825,7322621956720,7322621958694,7322621960307,7322621968358,7322621969966,7322621971570,7322621973277,7322621974991,7322621976605,7322621978319,7322621980145,7322621981777,7322621983382,7322621994654,7322621996269,7322621997877,7322621999482,7322622001092,7322622002709,7322622004314
9808021;G.N.H. MELANGE TWILL JEANS JASON;40;101805;90;201803;0;0;25/06/08;30/03/20;5;;;7322627192146,7322627192153,7322627192160,7322627192177,7322627192252,7322627192269,7322627194492,7322627194508,7322627194515,7322627194522,7322627194539,7322627194546,7322627194553,7322627194560,7322627194577,7322627195475,7322627195482,7322627195499,7322627195574,7322627195581,7322627195598,7322627195604,7322627195611,7322627195628,7322627196588,7322627196595,7322627196601,7322627196618,7322627196625,7322627196632,7322627196649
9859786;SMS PANTS HERRE;40;1020;5;202003;0;0;18/06/20;22/09/20;2;;;
9860888;SMS PANTS HERRE;40;1020;5;202003;0;0;03/09/20;22/09/20;2;;;
9804246;RUGGER ORIGINAL CACAO JEANS;40;102401;215;201701;0;0;16/02/07;30/03/20;3;;;7322623531727,7322623534001,7322623536319,7322623538566,7322623558076,7322623560734,7322623563247,7322623565937,7322623568495,7322623571112,7322623573741,7322623576209,7322623578777,7322623594197,7322623596603,7322623599024,7322623601222,7322623603424,7322623607842,7322623610040,7322623613973,7322623619753,7322623649064,7322623651838,7322623654891,7322623657830,7322623662247
9814891;RUGGER ORIGINAL COCOA JEANS;40;102401;215;201703;0;38;29/09/10;30/03/20;3;1;38;7322620377977,7322620377984,7322620377991,7322620378004,7322620378042,7322620378134,7322620378431,7322620378448,7322620378455,7322620378462,7322620378608,7322620378615,7322620378622,7322620378639,7322620378646,7322620378653,7322620378875,7322620378882,7322620378899,7322620378905,7322620378912
9815029;G.N.H. PREPPY CACAO JEANS TYLER;40;102401;215;201803;0;9;15/10/10;30/03/20;3;1;9;7322627205921,7322627206263,7322627206270,7322627206287,7322627206560
9806808;G.N.H. 11.5 OZ COMFORT DENIM JEANS TYLER;40;103001;960;201801;0;0;23/01/08;30/03/20;2;;;7322625216097,7322625216158,7322625216165,7322625216189,7322625216196,7322625216615,7322625216653,7322625216660,7322625216677,7322625216684
9815274;G.N.H. 11.5 SOFT COMFORT DENIM JEANS TYLER;40;103001;960;201803;0;0;03/12/10;05/03/20;2;;;7322627208922,7322627209325,7322627209332,7322627209752,7322627209769
9801332;FADED CANVAS REGULAR JEANS;40;104405;257;201601;0;77;17/01/06;30/03/20;3;1;77;0200001110955,0200001110962,7322620790288,7322620790400,7322620790578,7322620790615,7322620790660,7322620790714,7322620790752,7322620790790,7322620790837,7322620790875,7322620790912,7322620791179,7322620791292,7322620791346,7322620791384,7322620791469,7322620791506,7322620791704,7322620791711,7322620791797,7322620791827,7322620791865,7322620791896,7322620791933,7322620791957,7322620791971,7322620791995,7322620792008,7322620792015,7322620792039,7322620792077,7322620792107
9803951;G.N.H. FADED CANVAS REGULAR JEANS;40;104405;257;201701;0;57;24/01/07;30/03/20;3;1;57;0200001108181,0200001108198,7322623526419,7322623528758,7322623531048,7322623533325,7322623535527,7322623537880,7322623557284,7322623559899,7322623562455,7322623565104,7322623567672,7322623570283,7322623572942,7322623575462,7322623578012,7322623593404,7322623595873,7322623598294,7322623600546,7322623602748,7322623606678,7322623609365,7322623613225,7322623617643,7322623644915,7322623648210,7322623651159,7322623654099,7322623657021,7322623660809
9806564;G.N.H. FADED CANVAS JEANS JASON;40;104405;257;201801;0;81;10/01/08;30/03/20;3;1;81;7322625259667,7322625259681,7322625259698,7322625259704,7322625259711,7322625259728,7322625259735,7322625261219,7322625261226,7322625261233,7322625261288,7322625261295,7322625261301,7322625261318,7322625261363,7322625261370,7322625261387,7322625261394,7322625263077,7322625263084,7322625263091,7322625263107,7322625263114,7322625263121,7322625263138,7322625263145,7322625263152,7322625263169,7322625263176,7322625264715,7322625264784,7322625264791,7322625264807,7322625264814,7322625264821,7322625264838,7322628710424,7322628710431,7322628710448,7322628710943,7322628710950,7322628710967,7322628712039,7322628712046,7322628712053,7322628712060,7322628712077,7322628712084,7322628712091,7322628712107,7322628712114,7322628712121,7322628714101,7322628714118,7322628714125,7322628714132,7322628714149,7322628714156,7322628714163,7322628715016,7322628715078,7322628717621,7322628717638,7322628717645,7322628717652,7322628717669,7322628717676
9801333;FADED CANVAS REGULAR JEANS;40;104405;405;201601;0;77;17/01/06;30/03/20;3;1;77;0200001110931,0200001110948,7322620792510,7322620792558,7322620792596,7322620792633,7322620792671,7322620792718,7322620792756,7322620792794,7322620792831,7322620792954,7322620792985,7322620793104,7322620793142,7322620793180,7322620793210,7322620793258,7322620793296,7322620793333,7322620793388,7322620793418,7322620793661,7322620793784,7322620793821,7322620793869,7322620793937,7322620793975,7322620794170,7322620794217,7322620794309,7322620794330,7322620794378,7322620794446,7322620794484
9803952;G.N.H. FADED CANVAS REGULAR JEANS;40;104405;405;201701;0;65;24/01/07;30/03/20;3;1;65;0200001107924,0200001107931,7322623528796,7322623531086,7322623533363,7322623535565,7322623537927,7322623557321,7322623559936,7322623562516,7322623565159,7322623567719,7322623570320,7322623572980,7322623575509,7322623578050,7322623593466,7322623595910,7322623598331,7322623600584,7322623602786,7322623606814,7322623609402,7322623613263,7322623617711,7322623644953,7322623648258,7322623651197,7322623654136,7322623657069,7322623660885
9806565;G.N.H. FADED CANVAS JEANS JASON;40;104405;405;201901;0;77;10/01/08;30/03/20;3;1;77;0200001028113,0200001028120,7322625259940,7322625259957,7322625259964,7322625259971,7322625259988,7322625259995,7322625261974,7322625261981,7322625261998,7322625262001,7322625262018,7322625262025,7322625262032,7322625262049,7322625262056,7322625263374,7322625263381,7322625263398,7322625263404,7322625263411,7322625263428,7322625263435,7322625263442,7322625263459,7322625263466,7322625265118,7322625265125,7322625265132,7322625265200,7322625265217,7322625265224,7322625265231,7322628708452,7322628708469,7322628708476,7322628708483,7322628708612,7322628708629,7322628708636,7322628711179,7322628711186,7322628711193,7322628711209,7322628711216,7322628711223,7322628711230,7322628711247,7322628713302,7322628713319,7322628713326,7322628713548,7322628713555,7322628713562,7322628713579,7322628713586,7322628713593,7322628717201,7322628717218,7322628717225,7322628717232,7322628717249,7322628717256
9804241;G.N.H. FADED CANVAS REGULAR JEANS;40;104405;5;201701;0;0;06/02/07;30/03/20;2;;;7322623557246,7322623559813,7322623562424,7322623565067,7322623567641,7322623570238,7322623572911,7322623575431,7322623577985,7322623595842,7322623598263,7322623600515,7322623602717,7322623606548,7322623609334,7322623612860,7322623617612,7322623622333
9807253;G.N.H. FADED CANVAS JEANS JASON;40;104405;5;201801;0;2;19/02/08;30/03/20;2;1;2;7322625260328,7322625260335,7322625260342,7322625260359,7322625260366,7322625262117,7322625262124,7322625262131,7322625262148,7322625262155,7322625262162,7322625262179,7322625262186,7322625262193,7322625263534,7322625263541,7322625263558,7322625263565,7322625263572,7322625263589,7322625263596,7322625263602,7322625265491,7322625265507,7322625265514,7322625265521,7322625265538,7322625265545
9818041;MELANGE WHIPCORD JEANS JASON;40;105305;90;201202;159,36;0;09/08/11;05/03/20;2;;;7322623511880,7322623513358,7322623513372,7322623514225
9809662;G.N.H. MELANGE WHIPCORD JEANS JASON;40;105305;90;201803;0;29;02/03/09;30/03/20;2;1;29;7322627243046,7322627243091,7322627243985,7322627243992,7322627244005,7322627244012,7322627244036,7322627246528,7322627246603,7322627246627,7322627246634,7322627246641,7322627246658,7322627246665,7322627247228,7322627247235,7322627247242,7322627247259
9820753;EAST COST JEANS T.;40;106501;983;201101;232,5;0;11/01/12;05/03/20;3;;;7322620647803,7322620649258,7322620667344,7322620667559
9803876;G.N.H. ORIGINAL EAST COAST JEANS;40;106501;983;201701;0;54;16/01/07;30/03/20;3;1;54;0200001108204,0200001108211,7322623528703,7322623530997,7322623533271,7322623535473,7322623537835,7322623559790,7322623562394,7322623565043,7322623567610,7322623570214,7322623572898,7322623575417,7322623577954,7322623595828,7322623598249,7322623600492,7322623602694,7322623606524,7322623609310,7322623612723,7322623617575,7322623648166,7322623651104,7322623654044,7322623656970,7322623660649
9809163;G.N.H. EAST COAST JEANS TYLER;40;106501;983;201901;0;46;15/01/09;30/03/20;3;1;46;7322628739036,7322628739043,7322628739050,7322628739067,7322628739074,7322628739081,7322628739296,7322628739302,7322628739319,7322628739326,7322628739333,7322628739340,7322628739357,7322628739364,7322628739579,7322628739586,7322628739593,7322628739609,7322628739616,7322628739623,7322628739630,7322628739647,7322628739883,7322628739890,7322628739906,7322628739913,7322628739920
9804204;E.G. LINEN BLEND REGULAR CANVAS JEANS;40;106605;257;201701;0;0;05/02/07;30/03/20;2;;;7322623526105,7322623528321,7322623530737,7322623533011,7322623535213,7322623556911,7322623559486,7322623562097,7322623564725,7322623567313,7322623569911,7322623572577,7322623575141,7322623590465,7322623593015,7322623595514,7322623597983,7322623600232,7322623602434,7322623606081,7322623609051,7322623611467,7322623644601,7322623647909,7322623650763,7322623653788,7322623656697
9806566;E.G. LINEN BLEND CANVAS JEANS JASON;40;106605;257;201801;0;2;10/01/08;30/03/20;2;1;2;7322625280722,7322625280739,7322625280746,7322625280753,7322625280760,7322625280777,7322625281910,7322625281927,7322625281934,7322625281941,7322625281958,7322625281965,7322625281972,7322625281989,7322625281996,7322625283228,7322625283235,7322625283242,7322625283259,7322625283266,7322625283273,7322625283280,7322625283297,7322625283303,7322625284546,7322625284553,7322625284560,7322625284577,7322625284584,7322625284591
9811797;FADED NARROW STITCH TWILL JEANS T.;40;108801;405;201103;194,57;67;01/02/10;30/03/20;3;1;67;0200001008481,7322623582507,7322623582545,7322623582569,7322623582576,7322623582583,7322623582590,7322623582606,7322623585195,7322623585201,7322623585218,7322623585225,7322623585232,7322623585256,7322623585300,7322623585324,7322623585331,7322623588127,7322623588134,7322623588141,7322623588288,7322623588295,7322623588332,7322623588356,7322623588370,7322623588394,7322623591042,7322623591059,7322623591066,7322623591110,7322623591202,7322623591226,7322623591240
9803770;G.N.H FADED NARROW STITCH TWILL ORIGINAL JEANS;40;108801;405;201701;0;56;11/01/07;30/03/20;3;1;56;7322623527881,7322623530300,7322623532540,7322623534797,7322623537156,7322623556386,7322623558960,7322623561632,7322623564220,7322623566811,7322623569447,7322623572089,7322623574670,7322623577176,7322623592568,7322623595057,7322623597471,7322623599819,7322623602014,7322623605084,7322623608634,7322623610835,7322623616059,7322623644182,7322623647305,7322623650305,7322623653238,7322623656178,7322623659551
9808958;G.N.H. FADED NARROW STITCH TWILL JEANS TYLER;40;108801;405;201901;0;46;05/12/08;30/03/20;3;1;46;7322628778622,7322628778639,7322628778646,7322628778653,7322628778660,7322628778677,7322628779698,7322628779704,7322628779711,7322628779728,7322628779735,7322628779742,7322628779759,7322628779766,7322628779773,7322628781448,7322628781455,7322628781462,7322628781479,7322628781486,7322628781493,7322628781509,7322628781516,7322628781523,7322628784197,7322628784203,7322628784210,7322628784241,7322628784340,7322628784357
9801634;THE COLOURED STITCH ORIGINAL JEANS;40;109601;820;201601;0;62;24/01/06;30/03/20;3;1;62;0200001110498,0200001110504,7322620712136,7322620712174,7322620712211,7322620712242,7322620712280,7322620712327,7322620712365,7322620712402,7322620712440,7322620712686,7322620712808,7322620712853,7322620712891,7322620712976,7322620713010,7322620713188,7322620713317,7322620713355,7322620713386,7322620713478,7322620713515,7322620713737,7322620713775,7322620713829,7322620713867,7322620713898,7322620713928,7322620713966,7322620714000,7322620714048,7322620714161
9803771;G.N.H. COLOUR STITCH ORIGINAL JEANS;40;109601;820;201701;0;48;11/01/07;30/03/20;3;1;48;7322623527492,7322623529915,7322623532120,7322623534407,7322623536760,7322623558519,7322623561168,7322623563742,7322623566378,7322623568983,7322623571570,7322623574199,7322623576711,7322623594647,7322623597082,7322623599420,7322623601628,7322623604353,7322623608245,7322623610446,7322623615144,7322623649712,7322623652620,7322623655485,7322623658431
9805120;G.N.H. COLORSTITCH ORIGINAL JEANS;40;109601;820;201703;0;2;31/07/07;30/03/20;3;1;2;7322620073428,7322620073435,7322620073442,7322620073459,7322620073466,7322620073619,7322620073626,7322620073664,7322620073688,7322620073695,7322620073787,7322620073794,7322620073800,7322620073817,7322620073824,7322620073831,7322620073848,7322620073855,7322620073862,7322620074678,7322620074685,7322620074692,7322620074708,7322620074715,7322620074722,7322620074739,7322620074753,7322620074760
9816719;CAP BOX 25 PCS/CRT;40;1103;410;201101;14,88;0;21/06/11;17/11/20;2;;;0200001027598
9828569;CAP BOX 50 PCS/CRT;40;1103;410;201501;622,61;0;29/05/13;07/11/19;2;;;7321368307383
9811968;SALES PAPERBAG SMALL 200 PCS/CRT;40;1107;410;201101;1,5;0;10/02/10;22/11/19;2;;;0200001016059,0200001017582,0200001017650,0200001022869,0200001022876,0200001022883,0200001029745,0200001029783,0200001030383,7322628214960
9828054;SALES PAPERBAG SMALL 100 PCS/CRT;40;1107;410;201501;344,11;0;26/02/13;07/11/19;2;;;7321368307567
9811481;SALES PAPERBAG MEDIUM 150 PCS/CRT;40;1108;410;201101;2,17;0;06/01/10;22/11/19;2;;;0200001002564,0200001002588,0200001016066,0200001017599,0200001017612,0200001025839,0200001027604,0200001041266,0200001041655,0200001044656,7322628215004
9828073;SALES PAPERBAG MEDIUM 100 PCS/CRT;40;1108;410;201501;267,05;0;26/02/13;07/11/19;2;;;7321368307420
9811482;SALES PAPERBAG LARGE 150 PCS/CRT;40;1109;410;201101;2,4;0;06/01/10;22/11/19;2;;;0200001017605,0200001017636,0200001030390,0200001030406,7322628215097
