ArtikkelNr;Varetekst;LevKod;LevFargKod;Sesong;MainGroup;MainGrpTekst;ArtGroup;ArtGrpTekst;VVarekostL10;AntL10;VerdiL10;VVarekostL40;AntL40;VerdiL40;TotAnt;TotVerdi;LC;VerdiLCL10;VerdiLCL40
9841728;PREMIUM BOXER BRIEF CTN STR SOLID;1004;110;201804;220;GANT UNDERWEAR;80;GANT UNDERWEAR;105;11;1155;105;0;0;11;1155;47,7;524,7;0
9841729;PREMIUM BOXER BRIEF CTN STR SOLID;1004;405;201804;220;GANT UNDERWEAR;80;GANT UNDERWEAR;105;31;3255;105;0;0;31;3255;47,7;1478,7;0
9841730;PREMIUM BOXER BRIEF CTN STR SOLID;1004;5;201804;220;GANT UNDERWEAR;80;GANT UNDERWEAR;105;15;1575;105;0;0;15;1575;47,7;715,5;0
9841731;PREMIUM TANK TOP CTN STR;1007;110;201703;220;GANT UNDERWEAR;80;GANT UNDERWEAR;105;1;105;105;0;0;1;105;47,39;47,39;0
9841732;PREMIUM T-SHIRT CREW NECK CTN STR;1008;110;201803;220;GANT UNDERWEAR;80;GANT UNDERWEAR;105;1;105;105;0;0;1;105;59,49;59,49;0
9841733;BASIC 2-PACK V-NECK T-SHIRT;2118;110;201903;220;GANT UNDERWEAR;80;GANT UNDERWEAR;170;3;510;170;0;0;3;510;87,11;261,33;0
9841734;3-PACK TRUNK;3003;405;201903;220;GANT UNDERWEAR;80;GANT UNDERWEAR;173;0;0;173;1;173;1;173;90,16;0;90,16
9841735;3-PACK TRUNK;3003;93;201903;220;GANT UNDERWEAR;80;GANT UNDERWEAR;170;1;170;170;1;170;2;340;90,16;90,16;90,16
9841747;SC. 5PKT CROPPED TWILL SERENA;610072;113;201601;140;PANTS;60;TEEN GIRLS;252;0;0;252;5;1260;5;1260;141,7;0;708,5
9841753;CLASSIC DENIM PENCIL SKIRT;440080;970;201601;200;SKIRTS;40;WOMEN;345;0;0;345;1;345;1;345;161,95;0;161,95
9841754;GC. TEE-OFF COMFORT OXFORD B LS FBD;362242;815;201601;160;SHIRTS;10;MEN;350;0;0;350;1;350;1;350;156,94;0;156,94
9841757;R1. PINSTRIPE PARKA;74738;405;201601;100;OUTERWEAR;10;MEN;1435;0;0;1435;1;1435;1;1435;579,02;0;579,02
9841796;O2. SLIM SUNBLEACHED CHINO;1913556;277;201901;140;PANTS;10;MEN;420;79;33180;420;0;0;79;33180;199,28;15743,12;0
9841797;O2. SLIM SUNBLEACHED CHINO;1913556;433;201901;140;PANTS;10;MEN;420;141;59220;420;0;0;141;59220;199,28;28098,48;0
9841798;O2. SLIM SUNBLEACHED CHINO;1913556;475;201901;140;PANTS;10;MEN;420;38;15960;420;0;0;38;15960;199,28;7572,64;0
9841799;O2. REGULAR SUNBLEACHED SHORTS;21435;277;201901;190;SHORTS;10;MEN;342;10;3420;342;46;15732;56;19152;162,54;1625,4;7476,84
9841801;O2. REGULAR SUNBLEACHED SHORTS;21435;475;201901;190;SHORTS;10;MEN;342;2;684;342;0;0;2;684;162,54;325,08;0
9841803;REGULAR SUMMER SHORTS;21435;639;201901;190;SHORTS;10;MEN;342;0;0;342;4;1368;4;1368;162,54;0;650,16
9841815;GC. SEERSUCKER BD SS SHIRT;432464;630;201601;160;SHIRTS;40;WOMEN;247,5;2;495;247,5;0;0;2;495;134,54;269,08;0
9841816;GC. STRIPE STRETCH SHIRT;432466;320;201601;160;SHIRTS;40;WOMEN;310,5;2;621;310,5;0;0;2;621;181,18;362,36;0
9841817;GC. SEERSUCKER BD SS SHIRT;432464;436;201601;160;SHIRTS;40;WOMEN;247,5;44;10890;247,5;0;0;44;10890;134,54;5919,76;0
9841818;GC. STRIPE STRETCH SHIRT;432466;628;201601;160;SHIRTS;40;WOMEN;310,5;10;3105;310,5;0;0;10;3105;181,18;1811,8;0
9841820;GC. STRIPE STRETCH SHIRT;432466;514;201601;160;SHIRTS;40;WOMEN;310,5;8;2484;310,5;0;0;8;2484;181,18;1449,44;0
9841831;YC. REGULAR BROKEN TWILL SHORTS;21437;277;201601;190;SHORTS;10;MEN;385;297;114345;385;0;0;297;114345;200,93;59676,21;0
9841846;STRETCH OXFORD BANKER;432183;429;201603;160;SHIRTS;40;WOMEN;325;59;19175;325;0;0;59;19175;152,82;9016,38;0
9841859;S. DONEGAL LAMBSWOOL BLEND SHAWL;86534;481;201503;180;KNITWEAR;10;MEN;420;1;420;420;0;0;1;420;200,64;200,64;0
9841864;G. PRINTED SKIRT;440095;110;201601;200;SKIRTS;40;WOMEN;927;0;0;927;11;10197;11;10197;503,91;0;5543,01
9841903;G1. HOPSACK TRAVEL BLAZER;77024;405;201701;120;BLAZERS;10;MEN;1071;3;3213;1071;0;0;3;3213;700,87;2102,61;0
9841913;O. GANT TWILL CAP;990000;410;201801;720;ACC-BOYS;70;ACC;105;19;1995;105;0;0;19;1995;48,43;920,17;0
9841917;G. TWILL TRAVEL BLAZER;77025;75;201601;120;BLAZERS;10;MEN;1190;1;1190;1190;0;0;1;1190;644,8;644,8;0
9841929;DRAPED SHIFT DRESS;401550;410;201601;210;WOMEN;40;WOMEN;650;1;650;650;0;0;1;650;318,41;318,41;0
9841930;YC. BRODERIE ANGLAISE SKIRT;440098;5;201601;200;SKIRTS;40;WOMEN;495;0;0;495;1;495;1;495;262,66;0;262,66
9841958;BC. REGULAR FLOWER CARGO SHORTS;21657;475;201601;190;SHORTS;10;MEN;385;0;0;385;13;5005;13;5005;183,53;0;2385,89
9841979;REGULAR GANT CHINO;1740050;248;201801;140;PANTS;10;MEN;350;0;0;350;1;350;1;350;154,44;0;154,44
9841999;COTTON V-NECK;88162;419;201903;180;KNITWEAR;10;MEN;310;0;0;310;7;2170;7;2170;109,87;0;769,09
9842016;THE LINEN SHIRT LS FBD;393102;110;201601;160;SHIRTS;10;MEN;415;0;0;415;7;2905;7;2905;199,56;0;1396,92
9842021;YC. CHINO SHORTS;420397;248;201601;190;SHORTS;40;WOMEN;342;4;1368;342;0;0;4;1368;178,26;713,04;0
9842027;R1. RUGGER CHINO;175216;249;201603;140;PANTS;10;MEN;465;2;930;465;0;0;2;930;239,36;478,72;0
9842028;R1. RUGGER CHINO;175216;410;201603;140;PANTS;10;MEN;465;1;465;465;3;1395;4;1860;239,36;239,36;718,08
9842029;R2. RUGGER CHINO SHORTS;21460;278;201601;190;SHORTS;10;MEN;365;3;1095;365;14;5110;17;6205;185,48;556,44;2596,72
9842032;YC. CHINO SHORTS;420397;110;201601;190;SHORTS;40;WOMEN;342;10;3420;342;0;0;10;3420;178,26;1782,6;0
9842033;YC. SLIM FIT CHINO;414862;34;201601;140;PANTS;40;WOMEN;415;0;0;415;2;830;2;830;201,45;0;402,9
9842035;YC. CHINO SHORTS;420397;34;201601;190;SHORTS;40;WOMEN;342;3;1026;342;0;0;3;1026;178,26;534,78;0
9842036;YC. CHINO SHORTS;420397;719;201601;190;SHORTS;40;WOMEN;342;3;1026;342;0;0;3;1026;178,26;534,78;0
9842040;BC. LEAF HIPSTER BIKINI BOTTOM;461107;450;201601;195;SWIMWEAR;40;WOMEN;135;0;0;135;1;135;1;135;73,98;0;73,98
9842042;BC. SOLID HIPSTER BIKINI BOTTOM;461101;410;201601;195;SWIMWEAR;40;WOMEN;135;1;135;135;0;0;1;135;59,97;59,97;0
9842045;REGULAR COMFORT SHORTS;21710;110;201701;190;SHORTS;10;MEN;310;0;0;310;1;310;1;310;140,92;0;140,92
9842047;G. DOUBLE FACED BLAZER;77023;989;201601;120;BLAZERS;10;MEN;1039,5;12;12474;1039,5;0;0;12;12474;603,18;7238,16;0
9842048;REGULAR COMFORT SHORTS;21710;249;201701;190;SHORTS;10;MEN;279;10;2790;279;2;558;12;3348;140,92;1409,2;281,84
9842075;STARS SWIM SHORTS C.F.;6006;405;201801;195;SWIMWEAR;80;GANT UNDERWEAR;240;9;2160;240;13;3120;22;5280;107,41;966,69;1396,33
9842080;BASIC SWIM SHORTS C.F.;6001;310;201901;195;SWIMWEAR;80;GANT UNDERWEAR;153;1;153;153;0;0;1;153;97,29;97,29;0
9842081;BASIC SWIM SHORTS CLASSIC FIT;6001;405;201901;195;SWIMWEAR;80;GANT UNDERWEAR;175;3;525;175;0;0;3;525;97,29;291,87;0
9842087;BASIC SWIM SHORTS C.F.;6001;812;201901;195;SWIMWEAR;80;GANT UNDERWEAR;170;22;3740;170;0;0;22;3740;97,29;2140,38;0
9842091;CUT & SEWN SWIM SHORTS C.F.;6003;649;201901;195;SWIMWEAR;80;GANT UNDERWEAR;184,5;1;184,5;184,5;0;0;1;184,5;112;112;0
9842093;BEACH CLUB SWIM SHORTS C.F.;6012;427;201601;195;SWIMWEAR;80;GANT UNDERWEAR;205;1;205;205;0;0;1;205;93,56;93,56;0
9842097;POLKA DOT SWIM SHORTS S.F.;6015;410;201601;195;SWIMWEAR;80;GANT UNDERWEAR;184,5;10;1845;184,5;0;0;10;1845;102,33;1023,3;0
9842099;STARS GARMENT WASH SWIM SHORTS C.F.;6019;405;201701;195;SWIMWEAR;80;GANT UNDERWEAR;279;1;279;279;0;0;1;279;157,95;157,95;0
9842101;QUICK DRY SWIM SHORTS S.F.;6021;313;201601;195;SWIMWEAR;80;GANT UNDERWEAR;216;1;216;216;0;0;1;216;105,26;105,26;0
9842105;BASIC SWIM SHORTS CLASSIC FIT;6001;620;201901;195;SWIMWEAR;80;GANT UNDERWEAR;170;4;680;170;2;340;6;1020;97,29;389,16;194,58
9842107;PALM SWIM SHORTS C.F.;6014;436;201601;195;SWIMWEAR;80;GANT UNDERWEAR;184,5;8;1476;184,5;0;0;8;1476;93,56;748,48;0
9842110;YC. COTTON WEEKENDER BLAZER;476701;620;201601;120;BLAZERS;40;WOMEN;900;24;21600;900;0;0;24;21600;556,55;13357,2;0
9842111;O1. STRETCH COTTON CREW;88201;93;201801;180;KNITWEAR;10;MEN;350;2;700;350;0;0;2;700;149,6;299,2;0
9842164;KIDS ESSENTIAL 2-PACK LIFEBUOY;5622;620;201601;220;GANT UNDERWEAR;80;GANT UNDERWEAR;100;0;0;100;3;300;3;300;45,81;0;137,43
9842182;NHCT T-SHIRT;254222;110;201602;170;JERSEY;10;MEN;155;0;0;155;19;2945;19;2945;70,85;0;1346,15
9842207;THE OXFORD SHIRT REG BD SS;371001;468;201701;160;SHIRTS;10;MEN;330;10;3300;330;0;0;10;3300;139,58;1395,8;0
9842212;ORIGINAL SLIM PIQUE SS RUGGER;2202;468;201901;170;JERSEY;10;MEN;265;0;0;265;4;1060;4;1060;80,39;0;321,56
9842219;G1. FINE SATIN WEAVE SHIRT;432582;110;201702;160;SHIRTS;40;WOMEN;415;3;1245;415;0;0;3;1245;194,57;583,71;0
9842222;ESSENTIAL TRUNK 3-P SEASONAL;3623;805;201602;220;GANT UNDERWEAR;80;GANT UNDERWEAR;170;144;24480;170;0;0;144;24480;76,76;11053,44;0
9842223;JERSEY CREPE PANTS;401803;36;201602;170;JERSEY;40;WOMEN;550;2;1100;550;0;0;2;1100;245,25;490,5;0
9842224;GANT SAILOR DRESS;401823;220;201703;210;WOMEN;40;WOMEN;415;1;415;415;0;0;1;415;252,88;252,88;0
9842234;THE ORIGINAL HEAVY RUGGER;235500;334;201704;170;JERSEY;10;MEN;315;5;1575;315;0;0;5;1575;157,38;786,9;0
9842235;3 COL STRIPE T-SHIRT;254409;610;201504;170;JERSEY;10;MEN;210;24;5040;210;0;0;24;5040;94,75;2274;0
9842238;GINGHAM SHIRT LS BD - NOS;301050;317;201801;160;SHIRTS;10;MEN;315;4;1260;315;0;0;4;1260;148,26;593,04;0
9842239;MATCHPOINT POPLIN CHECK LS BD;301590;610;201504;160;SHIRTS;10;MEN;420;3;1260;420;0;0;3;1260;163,71;491,13;0
9842240;R. PRINTED INDIGO OXFORD HOBD;342400;989;201504;160;SHIRTS;10;MEN;365;12;4380;365;0;0;12;4380;161,58;1938,96;0
9842241;TOPSPIN OXFORD BRETON LS FBD;362012;110;201504;160;SHIRTS;10;MEN;350;1;350;350;0;0;1;350;150,67;150,67;0
9842242;TENNIS COTTON CABLE V-NECK;81314;423;201504;180;KNITWEAR;10;MEN;490;4;1960;490;0;0;4;1960;226,51;906,04;0
9842243;LT. WEIGHT COTTON CREW;83071;381;201903;180;KNITWEAR;10;MEN;335;1;335;335;0;0;1;335;145,71;145,71;0
9842244;LT. WEIGHT COTTON CREW;83071;486;201903;180;KNITWEAR;10;MEN;335;32;10720;335;0;0;32;10720;145,71;4662,72;0
9842245;LIGHT WEIGHT COTTON V-NECK;83072;433;201903;180;KNITWEAR;10;MEN;335;3;1005;335;0;0;3;1005;139;417;0
9842246;LT. WEIGHT COTTON V-NECK;83072;486;201903;180;KNITWEAR;10;MEN;335;11;3685;335;0;0;11;3685;139;1529;0
9842247;LT. WEIGHT COTTON ZIP CARDIGAN;83074;486;201901;180;KNITWEAR;10;MEN;410;1;410;410;0;0;1;410;200,39;200,39;0
9842248;DIAGONAL CHECK COTTON WOOL CREW;84144;405;201504;180;KNITWEAR;10;MEN;560;4;2240;560;0;0;4;2240;257,4;1029,6;0
9842253;CARRIE CR METALLIC JEAN;410163;101;201504;150;JEANS;40;WOMEN;620;2;1240;620;0;0;2;1240;284,76;569,52;0
9842279;LARGE MADRAS CHECK SHIRT;432525;220;201602;160;SHIRTS;40;WOMEN;380;0;0;380;14;5320;14;5320;168,23;0;2355,22
9842283;SLIM COMFORT CHINO;1702556;220;201801;140;PANTS;10;MEN;350;3;1050;350;20;7000;23;8050;162,16;486,48;3243,2
9842284;SLIM COMFORT CHINO;1702556;122;201801;140;PANTS;10;MEN;385;0;0;385;10;3850;10;3850;162,16;0;1621,6
9842286;MERINO WOOL WRAP CARDIGAN;481236;94;201602;180;KNITWEAR;40;WOMEN;648;6;3888;648;0;0;6;3888;359,7;2158,2;0
9842287;MERINO WOOL STRIPED V-NECK;481237;94;201602;180;KNITWEAR;40;WOMEN;495;14;6930;495;0;0;14;6930;250,7;3509,8;0
9842313;LAMBSWOOL BLEND V-NECK;483043;637;201903;180;KNITWEAR;40;WOMEN;250;0;0;250;31;7750;31;7750;132,79;0;4116,49
9842323;BANKER POPLIN BD;359920;436;201903;160;SHIRTS;10;MEN;315;7;2205;315;0;0;7;2205;120,14;840,98;0
9842324;BANKER BROADCLOTH REG BD;359920;468;201903;160;SHIRTS;10;MEN;250;181;45250;250;0;0;181;45250;120,14;21745,34;0
9842326;BROADCLOTH BANKER SHIRT;432586;436;201703;160;SHIRTS;40;WOMEN;310;0;0;310;10;3100;10;3100;106,38;0;1063,8
9842327;BROADCLOTH BANKER SHIRT;432586;468;201703;160;SHIRTS;40;WOMEN;225;56;12600;225;247;55575;303;68175;106,38;5957,28;26275,86
9842348;LOGO LS T-SHIRT;234330;93;201903;170;JERSEY;10;MEN;125;44;5500;125;146;18250;190;23750;51,23;2254,12;7479,58
9842352;G. PRINTED BLOUSE;432518;5;201602;160;SHIRTS;40;WOMEN;585;1;585;585;0;0;1;585;267,6;267,6;0
9842353;G. PRINTED STRAP TOP;432519;5;201602;160;SHIRTS;40;WOMEN;585;11;6435;585;0;0;11;6435;268,14;2949,54;0
9842354;G. SOLID STRAP TOP;432520;101;201602;160;SHIRTS;40;WOMEN;410;10;4100;410;0;0;10;4100;183,12;1831,2;0
9842355;G. SOLID STRAP TOP;432520;602;201602;160;SHIRTS;40;WOMEN;369;12;4428;369;0;0;12;4428;183,12;2197,44;0
9842358;STRIPE PRINTED SHIRT;432528;420;201602;160;SHIRTS;40;WOMEN;515;11;5665;515;0;0;11;5665;238,71;2625,81;0
9842359;RECTANGLE PRINTED SHIRT;432529;420;201602;160;SHIRTS;40;WOMEN;480;7;3360;480;0;0;7;3360;224;1568;0
9842362;PREMIUM T-SHIRT V-NECK CTN STR;1018;110;201803;220;GANT UNDERWEAR;80;GANT UNDERWEAR;105;4;420;105;0;0;4;420;59,49;237,96;0
9842382;GANT FULL ZIP HOODIE;407612;93;201703;170;JERSEY;40;WOMEN;445;7;3115;445;0;0;7;3115;209,83;1468,81;0
9842401;STRETCH COTTON CABLE CREW;480021;220;201903;180;KNITWEAR;40;WOMEN;445;0;0;445;5;2225;5;2225;172,15;0;860,75
9842402;COTTON JAQUARD V-NECK;482315;410;201602;180;KNITWEAR;40;WOMEN;432;5;2160;432;0;0;5;2160;222,39;1111,95;0
9842403;COTTON SILK WOOL CREW;80111;122;201602;180;KNITWEAR;10;MEN;420;1;420;420;3;1260;4;1680;183,01;183,01;549,03
9842407;COTTON WOOL V-NECK;483502;220;201602;180;KNITWEAR;40;WOMEN;310,5;10;3105;310,5;0;0;10;3105;147,1;1471;0
9842410;LOGO C-NECK SWEAT;276330;93;201903;170;JERSEY;10;MEN;250;92;23000;250;41;10250;133;33250;119,36;10981,12;4893,76
9842412;GANT LOGO C-NECK SWEAT;407610;610;201903;170;JERSEY;40;WOMEN;250;0;0;250;6;1500;6;1500;117,18;0;703,08
9842413;GANT LOGO C-NECK SWEAT;407610;93;201903;170;JERSEY;40;WOMEN;250;54;13500;250;100;25000;154;38500;117,18;6327,72;11718
9842414;SLIM GANT JEANS;1315008;971;201903;150;JEANS;10;MEN;420;25;10500;420;7;2940;32;13440;178,54;4463,5;1249,78
9842418;FINE MERINO WOOL V-NECK;88512;605;201701;180;KNITWEAR;10;MEN;420;0;0;420;1;420;1;420;203,83;0;203,83
9842420;FINE MERINO WOOL V-NECK;88512;95;201701;180;KNITWEAR;10;MEN;420;0;0;420;2;840;2;840;203,83;0;407,66
9842426;BLOCKSTRIPED HEAVY RUGGER LS;403510;610;201603;170;JERSEY;40;WOMEN;310;0;0;310;40;12400;40;12400;134,33;0;5373,2
9842432;REGULAR EVERYDAY CHINO;1709950;261;201903;140;PANTS;10;MEN;250;0;0;250;7;1750;7;1750;137,07;0;959,49
9842433;REGULAR EVERYDAY CHINO;1709950;277;201903;140;PANTS;10;MEN;250;1;250;250;0;0;1;250;137,07;137,07;0
9842434;REGULAR EVERYDAY CHINO;1709950;433;201903;140;PANTS;10;MEN;300;36;10800;300;110;33000;146;43800;137,07;4934,52;15077,7
9842438;O. SUEDE BELT;494000;509;201603;740;ACC-WOMEN;70;ACC;275;0;0;275;9;2475;9;2475;128,62;0;1157,58
9842441;O. SUEDE BELT;494000;668;201603;740;ACC-WOMEN;70;ACC;275;66;18150;275;7;1925;73;20075;128,62;8488,92;900,34
9842442;LAMBSWOOL BLEND V-NECK;86222;287;201903;180;KNITWEAR;10;MEN;350;0;0;350;7;2450;7;2450;151,01;0;1057,07
9842443;LAMBSWOOL BLEND V-NECK;86222;434;201903;180;KNITWEAR;10;MEN;350;0;0;350;13;4550;13;4550;151,01;0;1963,13
9842445;O1. MONOCHROME FLOWER C-NECK SWEAT;406612;410;201603;170;JERSEY;40;WOMEN;410;10;4100;410;0;0;10;4100;187,48;1874,8;0
9842446;G2. THE LEATHER SKIRT;478247;5;201603;140;PANTS;40;WOMEN;2420;3;7260;2420;0;0;3;7260;1264,4;3793,2;0
9842451;LAMBSWOOL BLEND V-NECK;86222;410;201903;180;KNITWEAR;10;MEN;300;251;75300;300;370;111000;621;186300;151,01;37903,51;55873,7
9842460;SLIM GREY JEAN;410229;941;201603;150;JEANS;40;WOMEN;550;0;0;550;9;4950;9;4950;233,04;0;2097,36
9842461;O1. MINI BANKER REG BD;394150;420;201603;160;SHIRTS;10;MEN;420;0;0;420;2;840;2;840;188,35;0;376,7
9842463;O1. ROYAL OXFORD SHIRT;432567;422;201603;160;SHIRTS;40;WOMEN;410;3;1230;410;0;0;3;1230;190,53;571,59;0
9842467;O1. JERSEY PIQUE SLACK;414901;5;201603;140;PANTS;40;WOMEN;725;1;725;725;0;0;1;725;346,62;346,62;0
9842468;O1. PIN STRIPE RECREATION PANT;414902;410;201603;140;PANTS;40;WOMEN;655;0;0;655;19;12445;19;12445;308,91;0;5869,29
9842475;O. REVERSIBLE LAMBSWOOL PONCHO;491986;92;201603;740;ACC-WOMEN;70;ACC;790;1;790;790;0;0;1;790;365,7;365,7;0
9842491;THE DOUBLE DECKER;70080;5;201603;100;OUTERWEAR;10;MEN;2275;0;0;2275;4;9100;4;9100;1116,16;0;4464,64
9842492;O1. THE REVERSIBLE SHIRT JACKET;70082;36;201603;100;OUTERWEAR;10;MEN;1365;5;6825;1365;0;0;5;6825;604,95;3024,75;0
9842495;O1. PIN STRIPE DRESS;450995;410;201603;210;WOMEN;40;WOMEN;1030;13;13390;1030;0;0;13;13390;461,72;6002,36;0
9842498;O1. PIN STRIPE WOOL BLAZER;476717;410;201603;120;BLAZERS;40;WOMEN;1310;3;3930;1310;0;0;3;3930;644,74;1934,22;0
9842514;O1. JERSEY PIQUE DRESS;450993;5;201603;210;WOMEN;40;WOMEN;960;62;59520;960;0;0;62;59520;473,06;29329,72;0
9842528;G1. CAP SLEEVE TOP;432595;5;201603;160;SHIRTS;40;WOMEN;480;10;4800;480;0;0;10;4800;222,36;2223,6;0
9842529;G1. WRAP SKIRT;440121;5;201603;200;SKIRTS;40;WOMEN;515;12;6180;515;2;1030;14;7210;240,35;2884,2;480,7
9842536;SLIM COMFORT CHINO;1702556;319;201801;140;PANTS;10;MEN;350;0;0;350;18;6300;18;6300;162,16;0;2918,88
9842543;BOTTOM SATEEN SHEET;851006206;110;201703;1010;D/D SOLID;90;HOME;327;1;327;327;0;0;1;327;199,92;199,92;0
9842551;O2. CLUB HOUSE SLACK;414907;413;201603;140;PANTS;40;WOMEN;760;1;760;760;0;0;1;760;347,17;347,17;0
9842553;O2. CLUB HOUSE SKIRT;440120;413;201603;200;SKIRTS;40;WOMEN;620;3;1860;620;7;4340;10;6200;283,95;851,85;1987,65
9842554;O2. CLUB HOUSE SKIRT;440120;5;201603;200;SKIRTS;40;WOMEN;620;0;0;620;1;620;1;620;283,95;0;283,95
9842555;O2. CLUB HOUSE DRESS;450006;413;201603;210;WOMEN;40;WOMEN;965;12;11580;965;0;0;12;11580;431,1;5173,2;0
9842556;O2. CLUB HOUSE DRESS;450006;5;201603;210;WOMEN;40;WOMEN;965;6;5790;965;0;0;6;5790;431,1;2586,6;0
9842569;SUPERFINE LAMBSWOOL V-NECK;86212;281;201903;180;KNITWEAR;10;MEN;455;22;10010;455;0;0;22;10010;263,82;5804,04;0
9842570;SUPER FINE LAMBSWOOL V-NECK;86212;386;201903;180;KNITWEAR;10;MEN;420;0;0;420;2;840;2;840;263,82;0;527,64
9842571;SUPERFINE LAMBSWOOL V-NECK;86212;410;201903;180;KNITWEAR;10;MEN;420;3;1260;420;5;2100;8;3360;263,82;791,46;1319,1
9842572;SUPERFINE LAMBSWOOL V-NECK;86212;482;201903;180;KNITWEAR;10;MEN;455;18;8190;455;0;0;18;8190;263,82;4748,76;0
9842573;SUPER FINE LAMBSWOOL V-NECK;86212;486;201903;180;KNITWEAR;10;MEN;420;2;840;420;0;0;2;840;263,82;527,64;0
9842576;SUPERFINE LAMBSWOOL V-NECK;86212;685;201903;180;KNITWEAR;10;MEN;420;2;840;420;6;2520;8;3360;263,82;527,64;1582,92
9842577;SUPERFINE LAMBSWOOL V-NECK;86212;93;201903;180;KNITWEAR;10;MEN;455;21;9555;455;1;455;22;10010;263,82;5540,22;263,82
9842578;SUPERFINE LAMBSWOOL V-NECK;86212;95;201903;180;KNITWEAR;10;MEN;420;0;0;420;4;1680;4;1680;263,82;0;1055,28
9842584;SUPER FINE LAMBSWOOL V-NECK;488412;248;201703;180;KNITWEAR;40;WOMEN;375;71;26625;375;0;0;71;26625;177,67;12614,57;0
9842585;SUPER FINE LAMBSWOOL V-NECK;488412;410;201703;180;KNITWEAR;40;WOMEN;375;55;20625;375;0;0;55;20625;177,67;9771,85;0
9842586;SUPER FINE LAMBSWOOL V-NECK;488412;678;201703;180;KNITWEAR;40;WOMEN;375;82;30750;375;0;0;82;30750;177,67;14568,94;0
9842588;COTTON WOOL CREW;83101;295;201903;180;KNITWEAR;10;MEN;385;0;0;385;1;385;1;385;199,78;0;199,78
9842590;COTTON WOOL CREW;83101;678;201903;180;KNITWEAR;10;MEN;350;1;350;350;2;700;3;1050;199,78;199,78;399,56
9842591;COTTON WOOL CREW;83101;686;201903;180;KNITWEAR;10;MEN;385;0;0;385;1;385;1;385;199,78;0;199,78
9842592;COTTON WOOL CREW;83101;810;201903;180;KNITWEAR;10;MEN;385;1;385;385;0;0;1;385;199,78;199,78;0
9842593;SOLID JERSEY RUGGER LS;402501;410;201603;170;JERSEY;40;WOMEN;345;150;51750;345;0;0;150;51750;152,9;22935;0
9842595;COTTON WOOL CREW;483801;130;201703;180;KNITWEAR;40;WOMEN;345;8;2760;345;0;0;8;2760;145,95;1167,6;0
9842599;COTTON WOOL V-NECK;483802;5;201703;180;KNITWEAR;40;WOMEN;345;116;40020;345;0;0;116;40020;145,95;16930,2;0
9842600;COTTON WOOL V-NECK;483802;85;201703;180;KNITWEAR;40;WOMEN;345;71;24495;345;0;0;71;24495;145,95;10362,45;0
9842601;COTTON WOOL CREW CARDIGAN;483805;433;201703;180;KNITWEAR;40;WOMEN;410;1;410;410;0;0;1;410;191,12;191,12;0
9842602;COTTON WOOL CREW CARDIGAN;483805;5;201703;180;KNITWEAR;40;WOMEN;410;28;11480;410;0;0;28;11480;191,12;5351,36;0
9842603;COTTON WOOL TANK TOP;483809;433;201603;180;KNITWEAR;40;WOMEN;275;81;22275;275;0;0;81;22275;128,57;10414,17;0
9842604;COTTON WOOL TANK TOP;483809;5;201603;180;KNITWEAR;40;WOMEN;275;72;19800;275;0;0;72;19800;128,57;9257,04;0
9842620;O. OXFORD SHIRT;630318;110;201603;160;SHIRTS;60;TEEN GIRLS;225;0;0;225;1;225;1;225;111,33;0;111,33
9842621;O. OXFORD SHIRT;630318;662;201603;160;SHIRTS;60;TEEN GIRLS;225;1;225;225;0;0;1;225;111,33;111,33;0
9842623;O. ARCHIVE BROADCLOTH GINGHAM;930305;420;201703;160;SHIRTS;20;BOYS;240;0;0;240;14;3360;14;3360;116,28;0;1627,92
9842628;O. DOBBY PLAID SHIRT;930312;436;201603;160;SHIRTS;20;BOYS;250;5;1250;250;0;0;5;1250;123,7;618,5;0
9842631;O. WINTER TWILL PLAID;930308;216;201603;160;SHIRTS;20;BOYS;245;0;0;245;8;1960;8;1960;121,84;0;974,72
9842633;TAILORED REGULAR URBAN PANT;1512533;410;201603;140;PANTS;10;MEN;630;0;0;630;1;630;1;630;278,82;0;278,82
9842636;O1. BIRD EYE WOOL BLAZER;476718;217;201603;120;BLAZERS;40;WOMEN;1275;3;3825;1275;0;0;3;3825;569,42;1708,26;0
9842685;SC. CASUAL BLAZER;870016;433;201601;120;BLAZERS;20;BOYS;530;4;2120;530;0;0;4;2120;223,04;892,16;0
9842718;G3. SHEARLING PEA COAT;78139;120;201603;100;OUTERWEAR;10;MEN;8000;0;0;8000;2;16000;2;16000;4195,8;0;8391,6
9842719;G1. BONDED LEATHER JACKET;78036;5;201603;100;OUTERWEAR;10;MEN;6600;3;19800;6600;0;0;3;19800;3480,96;10442,88;0
9842724;SC. 5PKT FRILL SHORTS;620025;635;201601;190;SHORTS;60;TEEN GIRLS;260;0;0;260;2;520;2;520;131,37;0;262,74
9842728;G2. LEATHER BOMBER JACKET;78037;305;201603;100;OUTERWEAR;10;MEN;5400;1;5400;5400;0;0;1;5400;2817,4;2817,4;0
9842745;O. BOY ARCHIVE BROADCLOTH GINGHAM;730305;608;201703;160;SHIRTS;21;BABY BOYS;198;3;594;198;0;0;3;594;95,25;285,75;0
9842746;O. TARTAN PLAID SHIRT;930313;436;201603;160;SHIRTS;20;BOYS;245;0;0;245;48;11760;48;11760;121,84;0;5848,32
9842762;CO POP STRETCH DOT SS;432176;113;201601;160;SHIRTS;40;WOMEN;310;45;13950;310;0;0;45;13950;145,41;6543,45;0
